artist,title,website,date,
Julia Scher,Securityland,http://adaweb.walkerart.org/context/artists/scher/scher0.html,1995,,
Vivian Selbo,killer @pp ~ it's all t@lk,http://cavil.com/partsofspeech/killerapp/,1998,,
Vivian Selbo,open_source,http://opensource.walkerart.org,2000,,
Vivian Selbo,Vertical Blanking Interval,http://adaweb.walkerart.org/project/selbo,1996,,
Alexei Shulgin,Form Art,http://www.c3.hu/collection/form,1997,,
John F. Simon,Color Balance,http://www.numeral.com/cb.html,1997,,
John F. Simon,Every Icon,http://www.numeral.com/eicon.html,1997,,
Scott Snibbe,Gravilux,http://www.snibbe.com/scott/dynamic/gravilux/gravilux.html,1998,,
Alan Sondheim b. 1993,Internet Text,http://www.anu.edu.au/english/internet_txt,1994,,
Darcey Steinke,Blindspot,http://adaweb.walkerart.org/project/blindspot/,1998,,
Stelarc,Ping body,http://www.stelarc.va.com.au/,1996,,
Igor Stromajer b. 1967,intima | virtual base,http://www.intima.org,1996,,
Nita Sturiale b. 1965,5Ideas,http://5ideas.artscience.org,2001,,
Piotr Szyhalski,Ding An Sich,http://www.walkerart.org/gallery9/artists/dingansich/,1997,,
Piotr Szyhalski,The Spleen,http://www.mcad.edu/home/faculty/szyhalski/Piotr,1995,,
curt walter tannhaeuser b. 1949,Horssol,http://www.artsite.ch,2000,,
Andrej Tisma,Natural Resorts,http://www.crosswinds.net/~tisma/art/resorts.htm,2001,,
Andrej Tisma,SIO (Spiritual Internet Object),http://members.tripod.com/~aaart/SIO.htm,1998,,
Myron Turner,Animal Locomotion,http://www.mbvan.org/mbvan/proj/muybr/,1998,,
Myron Turner,Animal Locomotion,http://www.mbvan.org/mbvan/proj/muybr/,1998,,
Myron Turner,Autobiography,http://www.umanitoba.ca/mbvan/hpgs/auto,1996,,
Myron Turner,Sea-Changes,http://www.room535.org/sea-changes/,1997,,
Stephen Vitiello,Tetrasomia,http://www.diacenter.org/vitiello/,2001,,
Marek Walczak; Helen Thorington; Jesse Gilbert,Adrift,http://www.turbulence.org/adrift,1997,,
Marek Walczak;Martin Wattenberg b. 1970,Apartment,http://turbulence.org/Works/apartment,2000,,
Marek Walczak;Martin Wattenberg b. 1970,WonderWalker,http://wonderwalker.walkerart.org,2000,,
Martin Wattenberg b. 1970,Bewitched,http://www.bewitched.com,1997,,
Martin Wattenberg b. 1970,Map of the Market,http://www.smartmoney.com/marketmap,1998,,
Martin Wattenberg b. 1970,The Shape of Song,http://www.turbulence.org/Works/song,2001,,
Annette Weintraub,Crossroads,http://www.turbulence.org/Works/crossroads/,2000,,
Annette Weintraub,Sampling Broadway,http://www.turbulence .org/Works/broadway/index.html,1999,,
Maciej Wisniewski,Netomat,http://netomat.net/,1999,,
Maciej Wisniewski,Turnstile,http://www.stadiumweb.com/turnstile/,1998,,
Daniel Young,NewZoid ARTificial News Headlines,http://www.newzoid.com,2001,,
Jody Zellen b. 1961,ghost city,http://www.ghostcity.com,2000,,
Eric Zimmerman b. 1969,Sissyfight 2000,http://www.sissyfight.com,2000,,
boaz zippor b. 1972,something,http://www.anything.it/something,2001,,
boaz zippor b. 1972,something 2,http://www.geocities.com/b_zippor,2001,,
