artist,title,date,website
armand behararmand behar,Chavirement d'âme précipité par le passage d'un vertige (à écho mécanique),2000,http://archive.rhizome.org/artbase/2264/index.htm
De Geuzen: a foundation for multi-visual researchDe Geuzen: a foundation for multi-visual research,De Geuzen Paper Dolls,2000,http://www.geuzen.org/current/DIY/paperdoll/paperdoll.html
De Geuzen: a foundation for multi-visual researchDe Geuzen: a foundation for multi-visual research,Do It Yourself Paper Dresses,2000,http://www.geuzen.org/current/DIY/paperdress.html
Shu Lea CheangShu Lea Cheang,"Expand, an interface",2000,http://www.heise.de/tp/kunst/expand/
Keith PetersKeith Peters,BIT-101,2000,http://www.bit-101.com
andrew hieronymiandrew hieronymi,GASHTGARI - the tehran project,2000,http://ahieronymi.net/gashtgari/
Armelle AulestiaArmelle Aulestia,Enregistrer1,2000,http://www.aulestia.net/enregistrer1
Miklos LegradyMiklos Legrady,Artcrimes,2000,
brody condonbrody condon,Adam Killer,2000,http://www.tmpspace.com/ak_1.html
Andy CoxAndy Cox,Anti-Capitalist Operating System,2000,http://www.twcdc.com/
Ted WarnellTed Warnell,Berlioz,2000,http://warnell.com/syntac/berlioz.htm
Marisa GonzalezMarisa Gonzalez,La Fabrica,2000,http://archive.rhizome.org/artbase/2845/lafabrica/index.htm
Doron GolanDoron Golan,1kik us,2000,http://the9th.com/00/artbase/1kikus/
Nathan CastleNathan Castle,'Button' Element with looped Click sound,2000,http://archive.rhizome.org/artbase/26092/click.htm
Cheryl SourkesCheryl Sourkes,Field Guide to Artificial Life on the Web,2000,http://archive.rhizome.org/artbase/2336/FieldGuide/index.html
Justin SimoniJustin Simoni,Respect the Cube,2000,http://www.prolix.nu/respect_the_cube/
Jonah Brucker-CohenJonah Brucker-Cohen,Site-Traffic.net,2000,http://www.site-traffic.net
Reynald DrouhinReynald Drouhin,Rhizomes,2000,http://www.incident.net/works/rhizomes/
Waldemar PranckiewiczWaldemar Pranckiewicz,Red Splash,2000,http://rrose.org/czas/3/03.html
Gara GillentineGara Gillentine,The Poetry Project,2000,http://sarabluesky.home.dixie-net.com/poetryproject/poetryproj1.html
stephanie rothenbergstephanie rothenberg,PAN-O-MATIC: website number .0001,2000,http://www.pan-o-matic.com
thomas charveriatthomas charveriat,Telephones,2000,http://montcada5.com/HTML/17_Telephones(E1).html
MashicaMashica,Nowash,2000,http://nowash.mashica.com/
michiel Knavenmichiel Knaven,Soundboxes,2000,http://www.michaelmedia.org/soundbox
Liz FrankoLiz Franko,Storytelling Machine,2000,http://www.us-them.com/liz/index/poetrypage.html
Eddo SternEddo Stern,RUNNERS: Everquest,2000,http://www.eddostern.com/runnersEQ.html
Reynald DrouhinReynald Drouhin,Refresh Window,2000,http://www.incident.net/works/rw/
