artist,title,date,website,screenshots,archive available at,archive capture link,can access,base url
Perry BardPerry Bard,Man With A Movie Camera: the Global Remake,2007,http://dziga.perrybard.net/,rhizome_artbase/screenshots/1678.png,20080807134959,http://web.archive.org/web/20080807134959/http://dziga.perrybard.net/,Y,perrybard.net
Trial and ErrorTrial and Error,Monument for the Masses,2007,http://trialerror.org/Monument/index.html,rhizome_artbase/screenshots/1679.png,20060615010202,http://web.archive.org/web/20060615010202/http://trialerror.org/Monument/index.html,Y,trialerror.org
mark cooleymark cooley,OneSmallStep: a MySpace luvStory,2007,http://www.flawedart.net/files/nospacelikemyspace/index.htm,rhizome_artbase/screenshots/1680.png,0,,Y,flawedart.net
Glebe DriftersGlebe Drifters,Drifters (The Strolling Stoned),2007,http://studentwork.hss.uts.edu.au/onlinedoco07/drifters/,Failed to capture screenshot,20080118110819,http://web.archive.org/web/20080118110819/http://studentwork.hss.uts.edu.au/onlinedoco07/drifters/,N,edu.au
santiago ortizsantiago ortiz,Karratu,2007,http://www.344server.org/karratu/english/,Failed to capture screenshot,20080724073140,http://web.archive.org/web/20080724073140/http://www.344server.org/karratu/english/,N,344server.org
Mariam GhaniMariam Ghani,How Do You See the Disappeared? A Warm Database,2007,http://www.turbulence.org/works/seethedisappeared,rhizome_artbase/screenshots/1683.png,20041230013807,http://web.archive.org/web/20041230013807/http://www.turbulence.org/works/seethedisappeared,Y,turbulence.org
Claire EvansClaire Evans,Digital Decay III,2007,http://vimeo.com/400918,rhizome_artbase/screenshots/1684.png,20071213145310,http://web.archive.org/web/20071213145310/http://vimeo.com/400918,Y,vimeo.com
Finishing SchoolFinishing School,Hegemonic Hybrids,2007,http://www.finishing-school.net/hh,rhizome_artbase/screenshots/1685.png,20080704122844,http://web.archive.org/web/20080704122844/http://www.finishing-school.net/hh,Y,finishing-school.net
Monica OngMonica Ong,Fallow,2007,http://www.monicaong.com/fallow/fallow.html,rhizome_artbase/screenshots/1686.png,20081012113226,http://web.archive.org/web/20081012113226/http://www.monicaong.com/fallow/fallow.html,Y,monicaong.com
Regina PintoRegina Pinto,Caleidoscópios - Kaleidoscopes,2007,http://arteonline.arq.br/kaleidoscope/,rhizome_artbase/screenshots/1687.png,20100402091328,http://web.archive.org/web/20100402091328/http://arteonline.arq.br/kaleidoscope/,Y,arq.br
Pradip MaldePradip Malde,Looking At God,2007,http://malde.sewanee.edu/folio/god,Failed to capture screenshot,0,,N,sewanee.edu
judsoNjudsoN,Mouth,2007,http://funkymomma.org/arch/mouth,Failed to capture screenshot,0,,N,funkymomma.org
Christian Marc SchmidtChristian Marc Schmidt,Atlantic Yards,2007,http://www.christianmarcschmidt.com/index.php?template=project&id=borders_atlantic_yards,rhizome_artbase/screenshots/1690.png,0,,Y,christianmarcschmidt.com
JimpaltJimpalt,Dreamers of the world unite and take over!,2007,http://www.jimpalt.org/dream,rhizome_artbase/screenshots/1691.png,20081120221724,http://web.archive.org/web/20081120221724/http://www.jimpalt.org/dream,Y,jimpalt.org
Thomas KnauerThomas Knauer,NEIGHBORHOOD [AN AUTOMATIC WRITING SUITE],2007,http://www.fourinchesofego.com/medneighbor.html,rhizome_artbase/screenshots/1692.png,20071227101112,http://web.archive.org/web/20071227101112/http://www.fourinchesofego.com/medneighbor.html,Y,fourinchesofego.com
Greg BlonderGreg Blonder,N:P:K 18:6:12,2007,http://www.gregblonder.com/lawn/index.htm,rhizome_artbase/screenshots/1693.png,20070701231701,http://web.archive.org/web/20070701231701/http://www.gregblonder.com/lawn/index.htm,Y,gregblonder.com
DEBRA SWACKDEBRA SWACK,Digital Maze Symmetry Project,2007,http://www.debraswack.com/digital%20maze%20symmetry%20project.html,rhizome_artbase/screenshots/1694.png,20150524004811,http://web.archive.org/web/20150524004811/http://www.debraswack.com/digital%20maze%20symmetry%20project.html,Y,debraswack.com
judsoNjudsoN,Portraiture,2007,http://funkymomma.org/arch/portraiture,Failed to capture screenshot,20090103160759,http://web.archive.org/web/20090103160759/http://funkymomma.org/arch/portraiture,N,funkymomma.org
wayne clementswayne clements,COMPUTERIZED HAIKU,2007,http://www.in-vacua.com/cgi-bin/haiku.pl,rhizome_artbase/screenshots/1696.png,20041109193446,http://web.archive.org/web/20041109193446/http://www.in-vacua.com/cgi-bin/haiku.pl,Y,in-vacua.com
Erika LincolnErika Lincoln,Sidereal Projections,2007,http://lincolnlab.net/sidereal.html,rhizome_artbase/screenshots/1697.png,20080906114953,http://web.archive.org/web/20080906114953/http://lincolnlab.net/sidereal.html,Y,lincolnlab.net
DreamAddictiveDreamAddictive,Glich-Gen,2007,http://dreamaddictive.com/glichgen,rhizome_artbase/screenshots/1698.png,20070629224955,http://web.archive.org/web/20070629224955/http://dreamaddictive.com/glichgen,Y,dreamaddictive.com
Miklos LegradyMiklos Legrady,A Kodak Moment,2007,http://archive.rhizome.org/artbase/46641/,rhizome_artbase/screenshots/1699.png,20150523130120,http://web.archive.org/web/20150523130120/http://archive.rhizome.org/artbase/46641/,Y,rhizome.org
Davis & DavisDavis & Davis,Oil & Water,2007,http://davisanddavis.org/ow/,rhizome_artbase/screenshots/1700.png,20130430080720,http://web.archive.org/web/20130430080720/http://davisanddavis.org/ow/,Y,davisanddavis.org
Wilfried Agricola de CologneWilfried Agricola de Cologne,JIP - JavaMuseum Interview Project,2007,http://jip.javamuseum.org,Failed to capture screenshot,20060524120750,http://web.archive.org/web/20060524120750/http://jip.javamuseum.org,N,javamuseum.org
eteameteam,International Airport Montello,2007,http://www.internationalairportmontello.com,rhizome_artbase/screenshots/1702.png,20070311020641,http://web.archive.org/web/20070311020641/http://www.internationalairportmontello.com,Y,internationalairportmontello.com
alexandra reillalexandra reill,Above the Skies,2007,http://www.kanonmedia.com/portfolio/zwhe.htm,rhizome_artbase/screenshots/1703.png,20070914021949,http://web.archive.org/web/20070914021949/http://www.kanonmedia.com/portfolio/zwhe.htm,Y,kanonmedia.com
IAAAIIAAAI,Patience,2007,http://hacker-iaaai.blogspot.com/2006/02/ue-ru-ldn-iaaai-pacience-uploaded-by.html,rhizome_artbase/screenshots/1704.png,20150527041013,http://web.archive.org/web/20150527041013/http://hacker-iaaai.blogspot.com/2006/02/ue-ru-ldn-iaaai-pacience-uploaded-by.html,Y,blogspot.com
Lalo Hernandez DiezLalo Hernandez Diez,"Gurus, Dictators and Saints",2007,http://www.holos.net/rhizome/gurus/index.html,rhizome_artbase/screenshots/1705.png,20150524022846,http://web.archive.org/web/20150524022846/http://www.holos.net/rhizome/gurus/index.html,Y,holos.net
Eva SchindlingEva Schindling,Deterministic Nonperiodic Flow (1963),2007,http://dnf.evsc.net/,rhizome_artbase/screenshots/1706.png,20070206095300,http://web.archive.org/web/20070206095300/http://dnf.evsc.net/,Y,evsc.net
Matthew BoardMatthew Board,Eternal Life,2007,http://www.mattboard.com/eternallife.html,rhizome_artbase/screenshots/1707.png,0,,Y,mattboard.com
